,,,PENGELUARAN 2025,,,

,,Bulan,Mei,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,1,Pak Dody,,170.000,Kas
,,2,Pembayaran sampah,,300.000,Sampah

,,Bulan,Juni,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,3,Cable,,10.000,Kas
,,4,Konsumsi musyawarah,,150.000,Kas
,,5,Berkas kelurahan+tips pak erdi,,120.000,Kas
,,6,Bayar sampah Juni 2025,,860.000,Sampah

,,Bulan,Juli,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,7,Konsumsi,,350.000,Kas
,,8,pembayaran sampah,,1.320.000,Sampah
,,9,Photo Copy,,150.000,Kas
,,10,umbul-umbul,,76.820,Kas
,,11,sticker,,31.850,Kas
,,12,"pengajian, umbul & tali",,488.500,Kas
,,13,alat lomba & kado,,1.000.000,Kas
,,14,Konsumsi+Lain lain lomba,,420.000,Kas
,,15,lainnya,,2.830,Kas

,,Bulan,Agustus,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,16,Bansos,,150.000,Kas
,,17,pembayaran sampah agst,,1.400.000,Sampah

,,Bulan,September,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,18,pembayaran sampah sept,,1.480.000,Sampah

,,Bulan,Oktober,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,19,Pemb. Sampah,,1.680.000,Sampah
,,20,Bansos,,400.000,Kas
,,21,Pilok + snack Developer,,190.000,Kas

,,Bulan,November,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,22,konsumsi rapat,,400.000,Kas
,,23,Stempel & Print Copy,,120.000,Kas
,,24,Damkar,,50.000,Kas

,,Bulan,Desember,,,
,,No,Pengeluaran ,Hari/Tanggal,Total,Sumber
,,25,Pemb. Sampah Nov,,2.280.000,Sampah
,,26,Bansos,,100.000,Kas
,,27,Matrial utk Musholla,,255.000,Kas
,,28,Bensin alat potong token mushola,,75.000,Kas
,,29,Operasional,,355.000,Kas
,,30,Token Mushola,,52.600,Kas
,,31,lampu reimburst,,400.000,Kas
,,32,Isra Miraj Masjid Cibogo,,200.000,Kas
,,33,Pemb. Sampah Des,,2.480.000,Sampah

